,Unnamed: 0,subject,predicate,object
875,233,Lack of self-care,can lead to,relapse in recovery
876,234,Post-Acute Withdrawal Syndrome,begins,shortly after acute withdrawal
877,235,Post-Acute Withdrawal Syndrome,is a common cause of,relapse
878,236,Acute withdrawal,has mostly,physical symptoms
879,237,Post-Acute Withdrawal Syndrome,has mostly,psychological symptoms
880,238,Post-Acute Withdrawal Syndrome,has mostly,emotional symptoms
881,239,Symptoms of Post-Acute Withdrawal Syndrome,are similar for,most addictions
882,240,Symptoms of acute withdrawal,are specific for,each addiction
883,241,Mood swings,are a symptom of,Post-Acute Withdrawal Syndrome
884,242,Anxiety,is a symptom of,Post-Acute Withdrawal Syndrome
885,243,Irritability,is a symptom of,Post-Acute Withdrawal Syndrome
886,244,Variable energy,is a symptom of,Post-Acute Withdrawal Syndrome
887,245,Low enthusiasm,is a symptom of,Post-Acute Withdrawal Syndrome
888,246,Variable concentration,is a symptom of,Post-Acute Withdrawal Syndrome
889,247,Disturbed sleep,is a symptom of,Post-Acute Withdrawal Syndrome
890,248,Symptoms of Post-Acute Withdrawal Syndrome,overlap with,depression symptoms
891,249,Symptoms of Post-Acute Withdrawal Syndrome,are expected to,gradually improve over time
892,250,Post-Acute Withdrawal Syndrome,has,prolonged duration (up to 2 years)
893,251,Symptoms of Post-Acute Withdrawal Syndrome,tend to,come and go
894,252,Being unprepared for protracted Post-Acute Withdrawal Syndrome,increases,risk of relapse
895,253,Clients struggling with Post-Acute Withdrawal Syndrome,tend to,catastrophize their chances of recovery
896,254,Cognitive challenge for Post-Acute Withdrawal Syndrome,is to encourage clients to measure progress,month-to-month
897,255,Repair stage of recovery,main task is,repairing damage caused by addiction
898,256,Repair stage of recovery,usually lasts,2 to 3 years
899,257,Individuals in repair stage of recovery,may feel,worse temporarily
900,258,Individuals in repair stage,must confront damage to,relationships
901,259,Individuals in repair stage,must confront damage to,employment
902,260,Individuals in repair stage,must confront damage to,finances
903,261,Individuals in repair stage,must confront damage to,self-esteem
904,262,Individuals in repair stage,must overcome,guilt from addiction
905,263,Individuals in repair stage,must overcome,negative self-labeling from addiction
906,264,Using cognitive behavioral therapy,is a task of,repair stage
907,265,Overcoming negative self-labeling,is a task of,repair stage
908,266,Overcoming catastrophizing,is a task of,repair stage
909,267,Understanding one is not their addiction,is a task of,repair stage
910,268,Repairing relationships,is a task of,repair stage
911,269,Making amends,is a task of,repair stage
912,270,Learning to feel comfortable with being uncomfortable,is a task of,repair stage
913,271,Improving self-care,is a task of,repair stage
914,272,Making self-care integral to recovery,is a task of,repair stage
915,273,Developing a balanced and healthy lifestyle,is a task of,repair stage
916,274,Continuing to engage in self-help groups,is a task of,repair stage
917,275,Developing healthy alternatives to substance use,is a task of,repair stage
918,276,Poor self-care,is a common cause of relapse in,repair stage
919,277,Not attending self-help group meetings,is a common cause of relapse in,repair stage
920,278,Growth stage of recovery,focuses on,developing unlearned skills
921,279,Unlearned skills,may have predisposed individuals to,addiction
922,280,Growth stage of recovery,usually starts,3 to 5 years after stopping substance use
923,281,Growth stage of recovery,is a,lifetime path
924,282,Growth stage of recovery,is a time to deal with,family of origin issues
925,283,Growth stage of recovery,is a time to deal with,past trauma
926,284,Tackling family of origin issues too soon,may lead to,relapse
927,285,Tackling past trauma too soon,may lead to,relapse
928,286,Identifying negative thinking patterns,is a task of,growth stage
929,287,Repairing negative thinking patterns,is a task of,growth stage
930,288,Identifying self-destructive patterns,is a task of,growth stage
931,289,Repairing self-destructive patterns,is a task of,growth stage
932,290,Understanding negative familial patterns,is a task of,growth stage
933,291,Understanding negative familial patterns,helps individuals,let go of resentments
934,292,Understanding negative familial patterns,helps individuals,move forward
935,293,Challenging fears with cognitive behavioral therapy,is a task of,growth stage
936,294,Challenging fears with mind-body relaxation,is a task of,growth stage
937,295,Setting healthy boundaries,is a task of,growth stage
938,296,Beginning to give back,is a task of,growth stage
939,297,Beginning to help others,is a task of,growth stage
940,298,Periodically reevaluating one's lifestyle,is a task of,growth stage
941,299,Ensuring one is on track in recovery,is a task of,growth stage
942,300,Tasks of growth stage,are similar to,life skills tasks for non-addicts
943,301,Non-addicts not developing healthy life skills,can lead to,unhappiness in life
944,302,Recovering individuals not developing healthy life skills,can lead to,unhappiness in life
945,303,Unhappiness in life for recovering individuals,can lead to,relapse
946,304,Individuals in late stage recovery,are subject to,special risks of relapse
947,305,Wanting to forget addiction,is a cause of relapse in,growth stage
948,306,Not wanting to focus on recovery for life,is a cause of relapse in,growth stage
949,307,Attending fewer self-help group meetings,is a cause of relapse in,growth stage
950,308,Focusing less on self-care as life improves,is a cause of relapse in,growth stage
951,309,Taking on more responsibilities,is a cause of relapse in,growth stage
952,310,Stopping healthy recovery activities,is a cause of relapse in,growth stage
953,311,Feeling not learning anything new at self-help group meetings,leads to,attending self-help group meetings less frequently
954,312,Self-help group meetings,provide benefit of,reminder of the voice of addiction
955,313,Feeling embarrassed to talk about recovery basics,is a cause of relapse in,growth stage
956,314,Embarrassment about occasional cravings,is a cause of relapse in,growth stage
957,315,Embarrassment about uncertainty of past addiction,is a cause of relapse in,growth stage
958,316,Believing one can control relapse,is a cause of relapse in,growth stage
959,317,Believing one can avoid negative consequences of substance use,is a cause of relapse in,growth stage
960,318,Most relapses,can be explained by,a few basic rules of recovery
961,319,Teaching The Five Rules of Recovery,helps clients understand,recovery is not complicated
962,320,Teaching The Five Rules of Recovery,helps clients understand,recovery is not beyond their control
963,321,Change your life (Rule 1),is the most important rule of,recovery
964,322,Recovery,is not achieved solely by,not using substances
965,323,Recovery,involves,creating a new life where abstinence is easier
966,324,Not changing one's life,leads to,factors contributing to addiction catching up
967,325,Wishing for one's old life back without substance use,is analogous to,wishing for relapse
968,326,Recovery,should be viewed as an,opportunity for change
969,327,Necessary changes in recovery,can lead to,greater happiness
970,328,Addiction,can serve as,opportunity to reevaluate life and make changes
971,329,Change needed in recovery,is usually,a small percentage of one's life
972,330,Most people in recovery,have,similar problems
973,331,Most people in recovery,need to make,similar changes
974,332,Changing negative thinking patterns,is a needed change in,recovery
975,333,Avoiding people associated with substance use,is a needed change in,recovery
976,334,Avoiding places associated with substance use,is a needed change in,recovery
977,335,Avoiding things associated with substance use,is a needed change in,recovery
978,336,Incorporating The Five Rules of Recovery,is a needed change in,recovery
979,337,Clients,need to develop,"healthy fear of substance use triggers (people, places, things)"
980,338,"Substance use triggers (people, places, things)",were previously associated with,positive emotions
981,339,Developing healthy fear of substance use triggers,requires,significant mental retraining
982,340,Addiction,requires,lying
983,341,Addicted individuals,lie about,getting drugs
984,342,Addicted individuals,lie about,hiding drugs
985,343,Addicted individuals,lie about,denying consequences of substance use
986,344,Addicted individuals,lie about,planning next relapse
987,345,Addicted individuals,eventually lie to,themselves
988,346,Feeling unable to be completely honest,is a sign of,emotional relapse
989,347,Secrets in recovery,are detrimental to,recovering individuals
990,348,Therapy,helps clients practice,telling the truth
991,349,Therapy,helps clients practice,admitting and correcting misstatements
992,350,Clients,are encouraged to understand,concept of a recovery circle
993,351,Recovery circle,includes,family
994,352,Recovery circle,includes,doctors
995,353,Recovery circle,includes,counselors
996,354,Recovery circle,includes,self-help groups
997,355,Recovery circle,includes,sponsors
998,356,Individuals,are encouraged to be completely honest within,their recovery circle
999,357,Most common misinterpretation of complete honesty,is,believing one must be honest about others' flaws
1000,358,Honesty in recovery,is,self-honesty
1001,359,"Feeling ""uncomfortably honest"" when sharing in recovery circle",is a test of,complete honesty
1002,360,Honesty,"is always preferable, except when it may",harm others
1003,361,Joining a self-help group,increases chances of,long-term recovery
1004,362,Combination of a substance abuse program and self-help group,is the most effective for,recovery
1005,363,Twelve-step groups,include,Alcoholics Anonymous
1006,364,Twelve-step groups,include,Narcotics Anonymous
1007,365,Twelve-step groups,include,Marijuana Anonymous
1008,366,Twelve-step groups,include,Cocaine Anonymous
1009,367,Twelve-step groups,include,Gamblers Anonymous
1010,368,Twelve-step groups,include,Adult Children of Alcoholics
1011,369,Other self-help groups,include,Women for Sobriety
1012,370,Other self-help groups,include,Secular Organizations for Sobriety
1013,371,Other self-help groups,include,SMART Recovery
1014,372,Other self-help groups,include,Caduceus groups for health professionals
1015,373,Attending 12-step meetings regularly,helps maximize benefits of,12-step groups
1016,374,Having a sponsor in 12-step groups,helps maximize benefits of,12-step groups
1017,375,Reading 12-step materials,helps maximize benefits of,12-step groups
1018,376,Having a goal of abstinence,helps maximize benefits of,12-step groups
1019,377,Active participation in self-help groups,helps individuals feel,not alone
1020,378,Active participation in self-help groups,helps individuals learn about,voice of addiction by hearing others' experiences
1021,379,Active participation in self-help groups,helps individuals learn about,successful recovery methods
1022,380,Active participation in self-help groups,helps individuals learn about,successful coping skills
1023,381,Self-help groups,provide,"safe, non-judgmental environment"
1024,382,Guilt,is a common emotion in,addiction
1025,383,Shame,is a common emotion in,addiction
1026,384,Guilt and shame,are obstacles to,recovery
1027,385,Self-help groups,help individuals overcome,guilt of addiction
1028,386,Self-help groups,help individuals overcome,shame of addiction
1029,387,Self-help groups,help individuals realize they are,not alone
1030,388,Not wanting to admit being an addict or alcoholic,is a reason for not joining,self-help groups
1031,389,Wanting to recover independently,is a reason for not joining,self-help groups
1032,390,Disliking groups,is a reason for not joining,self-help groups
1033,391,"Not being a ""joiner""",is a reason for not joining,self-help groups
1034,392,Disliking public speaking,is a reason for not joining,self-help groups
1035,393,"Fear of switching addictions (e.g., to Alcoholics Anonymous)",is a reason for not joining,self-help groups
1036,394,Fear of being recognized,is a reason for not joining,self-help groups
1037,395,Disliking religious aspects of some groups,is a reason for not joining,self-help groups
1038,396,Objections to joining self-help groups,are material for,cognitive behavioral therapy as negative thinking
1039,397,Understanding why people use substances,helps understand importance of,self-care
1040,398,People use substances,to,escape
1041,399,People use substances,to,relax
1042,400,People use substances,to,reward themselves
1043,401,"Escape, relaxation, self-reward",are primary benefits of,substance use
1044,402,Acknowledging benefits of substance use in therapy,helps individuals understand importance of,self-care
1045,403,Acknowledging benefits of substance use in therapy,helps individuals be motivated to find,healthy alternatives to substance use
1046,404,Self-care,is an overlooked aspect of,recovery
1047,405,Lack of self-care,can lead to,relapse despite other recovery efforts
1048,406,Self-care,is difficult for recovering individuals because they are,hard on themselves
1049,407,Self-care,is especially difficult for,adult children of addicted individuals
1050,408,Many clients,lack understanding of difference between,selfishness and self-care
1051,409,Selfishness,is defined as,taking more than one needs
1052,410,Self-care,is defined as,taking as much as one needs
1053,411,Addicted individuals,typically take,less than they need
1054,412,Taking less than one needs (addicted individuals),leads to,exhaustion
1055,413,Taking less than one needs (addicted individuals),leads to,resentment
1056,414,Exhaustion or resentment,leads to turning to addiction for,relaxation or escape
1057,415,Challenging addictive thinking,involves encouraging clients to understand,inability to be good to others without self-care
1058,416,Individuals use substances,to escape,negative emotions
1059,417,Individuals use substances,as a,reward
1060,418,Individuals use substances,to enhance,positive emotions
1061,419,Poor self-care,plays a role in substance use as,reward or emotion enhancement
1062,420,Poor self-care,often precedes,substance use for reward or emotion enhancement
1063,421,Mind-body relaxation,reduces,substance use
1064,422,Mind-body relaxation,is effective in,long-term relapse prevention
1065,423,Relapse prevention therapy and mind-body relaxation,are combined into,mindfulness-based relapse prevention
1066,424,Mind-body relaxation,plays multiple roles in,recovery
1067,425,Stress,is a common trigger of,relapse
1068,426,Tension,is a common trigger of,relapse
1069,427,Mind-body relaxation,helps individuals let go of,"negative thinking (dwelling on past, worrying about future)"
1070,428,Dwelling on the past,is a trigger for,relapse
1071,429,Worrying about the future,is a trigger for,relapse
1072,430,Mind-body relaxation,is a form of,self-kindness
1073,431,Self-care practice during mind-body relaxation,translates into,self-care in daily life
1074,432,Creating a new life in recovery,involves,finding time to relax
1075,433,Do not bend the rules (Rule 5),reminds individuals not to,resist change in recovery
1076,434,Do not bend the rules (Rule 5),reminds individuals not to,sabotage change in recovery
1077,435,Looking for loopholes in recovery,is a test of,bending the rules
1078,436,Ignoring professional advice after asking for it,is a warning sign of,bending the rules
1079,437,Clients in recovery after a while,can be categorized as,non-users
1080,438,Clients in recovery after a while,can be categorized as,denied users
1081,439,Non-users in recovery,acknowledge past substance use was,fun
1082,440,Non-users in recovery,acknowledge recent substance use was,not fun
1083,441,Non-users in recovery,want to,start next chapter of life
1084,442,Denied users in recovery,cannot fully acknowledge,extent of their addiction
1085,443,Denied users in recovery,cannot imagine,life without substance use
1086,444,Denied users in recovery,secretly plan to,try using substances again
1087,445,Recovery anniversaries,are often seen as reasons to,use substances by denied users
1088,446,Reaching a recovery milestone,leads some individuals to believe they can,use substances safely
1089,447,Clients,are encouraged to identify themselves as,non-users or denied users
1090,448,Denied user,is in,chronic mental relapse
1091,449,Denied user,is at,high-risk for future relapse
1092,450,Everyone in early recovery,is a,denied user
1093,451,Goal in therapy,is to help individuals transition from,denied users to non-users
1094,452,Not changing one's life in recovery,means,factors contributing to addiction persist
1095,453,Insufficient self-care,leads to,feeling uncomfortable
1096,454,Feeling uncomfortable,leads to seeking ways to,escape
1097,455,Feeling uncomfortable,leads to seeking ways to,relax
1098,456,Feeling uncomfortable,leads to seeking ways to,reward oneself
1099,457,Treatment,aims to help individuals,recognize early warning signs of relapse
1100,458,Treatment,aims to help individuals,develop coping skills for early relapse prevention
1101,459,Understanding The Five Rules of Recovery,helps clients focus on,what is important in recovery
